Poem,Romaji,My translation,俳人,Poet,Dates,Season,Kigo,Original source ,Modern Source,Notes,Maegaki,NKBZ,俳句大観,名歌名句辞典,俳句の歴史,現代俳句,自選自解,蝸牛,古典俳句,Ueda Haiku,Keene World,Keene Dawn,Blyth Haiku,Blyth History,Fay Aoyagi,English Saijiki,21 Century,Other translation,Saijiki priority
遺されしものに首振る扇風機,nokosareshi mono ni kubi furu senpûki,,あざ蓉子,Yoko Aza,,,,"from “ Haiku Dai-Saijiki” (“Comprehensive Haiku Saijiki”), Kadokawa Shoten, Tokyo, 2006",,2018-07-20 | https://fayaoyagi.wordpress.com/2018/07/20/todays-haiku-july-20-2018/,,,,,,,,,,,,,,,"at the one left behind
an electric fan moves
its neck",,,,
遠浅を思えば鶴の羽音かな,tôasa o omoeba tsuru no haoto kana,,あざ蓉子,Yoko Aza,,,,"from ‘ Haiku Nenkan, ’ (“Haiku Almanac”), January 2012 Supplement Issue of ‘ Haiku ,’ a monthly haiku magazine, Kadokawa Gakugei Shuppan, Tokyo",,2012-01-21 | https://fayaoyagi.wordpress.com/2012/01/21/todays-haiku-january-21-2012/,,,,,,,,,,,,,,,"when I imagine
a shallow beach
cranes’ flapping wings",,,,
母のこゑ足して七草揃ひけり,haha no koe tashite nanakusa soroikeri,,あざ蓉子,Yoko Aza,,,,"from “ Gendai Haiku Hyakunin Nijukku ” (“Modern Haiku: 20 Haiku per100 Poets”), edited by Kazuo Ibaraki, Kiyoko Uda, Nenten Tsubouchi, Kazuko Nishimura, You-shorin, Nagano, 2004",,2011-01-10 | https://fayaoyagi.wordpress.com/2011/01/10/todays-haiku-january-10-2011/,,,,,,,,,,,,,,,"adding mother’s voice
New Year’s seven herbs
complete",,,,
秋風や硝子のかへるより涙,akikaze ya garasu no kaeru yori namida,,あべ小萩,Kohagi Abe,,,,"from ‘ Haidan, ’ (‘Haiku Stage’) a monthly haiku magazine, September 2013 Issue, Honami Shoten, Tokyo",,2013-10-07 | https://fayaoyagi.wordpress.com/2013/10/07/todays-haiku-october-7-2013/,,,,,,,,,,,,,,,"autumn wind—
tears from
a glass frog",,,,
水槽を与へて雪に触れさせず,suis ō o ataete yuki ni furesasezu,,いかちゃん,Ikachan,,,,"from Haiku Shiki ( Haiku Four Seasons ), November 2025 Issue, Tokyo Shiki Shuppan, Tokyo",,2025-12-21 | https://fayaoyagi.wordpress.com/2025/12/21/todays-haiku-december-21-2025/,,,,,,,,,,,,,,,"I give an aquarium
not to let the snow
touch",,,,
みづうみの尖りだしたる野梅かな 南,mizuumi no togaridashitaru noume kana,,うみを,Umio Minami,,,,"from ‘ Haiku ,’ a monthly haiku magazine, March 2017 Issue, Kabushiki Kaisha Kadokawa, Tokyo",,2020-02-21 | https://fayaoyagi.wordpress.com/2020/02/21/todays-haiku-february-21-2020/,,,,,,,,,,,,,,,"the lake starts
to sharpen itself…
wild plum blossoms",,,,
いわし雲より人の降り来る千枚田 南,iwashi-gumo yori hito no orikuru senmai-da,,うみを,a man descending,,,,"from “ Gendai Haiku Hyakunin Nijukku ” (“Modern Haiku: 20 Haiku per100 Poets”), edited by Kazuo Ibaraki, Kiyoko Uda, Nenten Tsubouchi, Kazuko Nishimura, You-shorin, Nagano, 2004",,2010-10-22 | https://fayaoyagi.wordpress.com/2010/10/22/todays-haiku-october-22-2010/,,,,,,,,,,,,,,,,,,,
花冷えや睫毛にピカソの青いしずく,hanabie ya matsuge ni pikaso no aoi shizuku,,おおしろ建,Ken Ohshiro,,,,"from ‘ Haidan, ’ (‘Haiku Stage’) a monthly haiku magazine, April 2013 Issue, Honami Shoten, Tokyo",,2015-04-29 | https://fayaoyagi.wordpress.com/2015/04/29/todays-haiku-april-29-2015/,,,,,,,,,,,,,,,"cherry blossom chill—
Picasso’s blue droplet
on her eyelashes",,,,
空が高いからこころに包帯巻いている,sora ga takai kara kokoro ni hôtai maiteiru,,おおしろ建,Ken Ohshiro,,,,"from ‘ Haidan, ’ (‘Haiku Stage’) a monthly haiku magazine, April 2013 Issue, Honami Shoten, Tokyo",,2014-04-23 | https://fayaoyagi.wordpress.com/2014/04/23/todays-haiku-april-23-2014/,,,,,,,,,,,,,,,"because the sky is high
I have my heart
bandaged",,,,
もどる波呑みこむ波や秋ふかし,modoru nami nomikomu nami ya aki fukashi,,きくちつねこ,Tsuneko Kikuchi,,,,"from “ Haiku Dai-Saijiki” (“Comprehensive Haiku Saijiki”), Kadokawa Shoten, Tokyo, 2006",,2017-11-01 | https://fayaoyagi.wordpress.com/2017/11/01/todays-haiku-november-1-2017/,,,,,,,,,,,,,,,"returning waves
and swallowed waves
deep autumn",,,,
