Poem,Romaji,My translation,俳人,Poet,Dates,Season,Kigo,Original source ,Modern Source,Notes,Maegaki,NKBZ,俳句大観,名歌名句辞典,俳句の歴史,現代俳句,自選自解,蝸牛,古典俳句,Ueda Haiku,Keene World,Keene Dawn,Blyth Haiku,Blyth History,Fay Aoyagi,English Saijiki,21 Century,Other translation,Saijiki priority
市中は　物のにほひや　夏の月,ichinaka wa / mono no nioi ya / natsu no tsuki,"in the city —
the fragrance of things . . .
summer moon",凡兆,Bonchō,,Summer,夏の月 natsu no tsuki (summer moon),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
あつしあつしと　門々の声,atsushi atsushi to / kadokado no koe,"so hot, so hot —
voices at every gate",,Bashō,,Summer,暑し atsushi (the heat; hot),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
二番草　取りも果たさず　穂に出でて,nibangusa / tori mo hatasazu / ho ni idete,"the second weeding
not yet finished —
ears of grain appear",去来,Kyorai,,Autumn,二番草 nibangusa (second weeding),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
灰うちたたく　宵の稲妻,hai uchitaku / yoi no inazuma,"ashes beaten and scattered —
lightning at dusk",,Bashō,,Autumn,稲妻 inazuma (lightning),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
此の筋は　銀も見しらず　不自由さよ,kono suji wa / gin mo mishirazu / fujiyū sa yo,"in this trade
silver goes unrecognized —
what inconvenience",兆,Bonchō,,,,,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
ただとひやうしに　長き脇指,tada to hyōshi ni / nagaki wakizashi,"drawn by chance alone —
a long short sword",来,Kyorai,,,,,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
北野どの　御すきもの　梅の花,Kitano-dono / o-suki mono / ume no hana,"lord of Kitano —
what he loves best:
the plum blossom",,,,Spring,梅の花 ume no hana (plum blossoms),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
かめにさす　柳のさけや　つくりばな,kame ni sasu / yanagi no sake ya / tsukuribana,"steeped in the jar —
willow-branch sake,
artificial flowers",,,,Spring,柳 yanagi (willow),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
風さむし　やぶれ障子の　神無月,kaze samushi / yabureshōji no / kannazuki,"the wind is cold —
through a torn shoji,
the godless month",,,,Winter,神無月 kannazuki (tenth month; the godless month),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
きえくとも　火にならりそ　雪ぼとけ,kieku tomo / hi ni narariso / yukibotoke,"though you melt away —
do not get used to fire,
snow buddha",,,,Winter,雪ぼとけ yukibotoke (snow buddha),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
