Era,Poem,Romaji,My translation,俳人,Poet,Dates,Season,Kigo,Original source ,Modern Source,Notes,Maegaki,NKBZ,俳句大観,名歌名句辞典,俳句の歴史,現代俳句,自選自解,蝸牛,古典俳句,Ueda Haiku,Keene World,Keene Dawn,Blyth Haiku,Blyth History,Fay Aoyagi,English Saijiki,21 Century,Other translation,Saijiki priority
Edo,北野どの御すきものや梅の花,"kitano-dono                
onsuki no mono ya        
ume no hana         ","What the Lord of Kitano
most enjoys
are plum blossoms.",詠み人知らず,Anonymous,1400,Spring,"梅 【うめ】 ume, （sometimes むめ mume）, plum (blossoms) [technically, the ""Japanese apricot"", Prunus mume; but this has almost always been translated ""plum"" for literary purposes] (early spring).",Hobbyhorse Collection of Mad Poems,,,test,test source,,,,,,,,test,,,,,,,,,
Edo,かめにさす柳のさけやつくりばな,"kame ni sasu
yanagi no sake ya
tsukuribana","a willow branch thrust
into the vase—is it sake
or a paper flower?",詠み人知らず,Anonymous,1400,Spring,"柳 【やなぎ】 yanagi, willow(s) / weeping willow(s) (late spring).",,,,,,,,,,,,,,,,,,,,,,
Edo,春雨にあらいてけづれ柳がみ,"harusame ni 
araite kezure
yanagi gami","Spring rain
washing, combing
the willow hair.",詠み人知らず,Anonymous,1633,Spring,"春雨 【はるさめ】 harusame, spring rain (all spring).",Puppy Collection,,,,,,,,,,,,,,,,,,,,,
Edo,気力なしと誰かは見ましこぶ柳　,"kiryoku nashi to
dare kawa mimashi
kobu yanagi","No power—
who would see that in
a swelling willow?",詠み人知らず,Anonymous,1633,Spring,"柳 【やなぎ】 yanagi, willow(s) / weeping willow(s) (late spring).",Puppy Collection,,,,,,,,,,,,,,,,,,,,,
Edo,世にふるも更に時雨の宿りかな,"yo ni furu mo
sara ni shigure no
yadori kana","enduring this world
while all along the winter rain
falls on my shelter",宗祇,Sōgi,1448-1532,Spring,"春雨 【はるさめ】 harusame, spring rain (all spring).",,,,,,,,,,,,,,,,,,,,,,
Edo,雪ながら山本かすむ夕べかな,"yuki nagara
yama moto kasumu 
yube kana","still bearing snow
the foothills of the mountain
wrap in evening haze",宗祇,Sōgi,1448-1532,Spring,"雪 【ゆき】 yuki, snow. / 霞 【かすみ】 kasumi, (spring) mist [frequently translated ""haze""; see note ""On Haze, Mist, Fog""] (all spring).",,,Snow lingering while the foothills haze over—classic late-spring juxtaposition.,,,,,,,,,,,,,,,,,,,
Edo,菫咲く野はいくすじの春の水,"sumire saku
no wa ikusuji no
haru no mizu","violet fields—
how many streamlets run
through the spring water",宗長 ,Sōgi,1448-1532,Spring,"菫 【すみれ】 sumire, violet(s) [Viola mandshurica] (all spring).",,,,,,,,,,,,,,,,,,,,,,
Edo,にがにがしいつ迄嵐ふきのたう,"niganigashi
itsu made arashi fuki no tō  
fuki no tō  ","till when will
the bitter winds blow 
butterbur pot",山崎宗鑑,Yamazaki Sōkan ,1464 –1552,Spring,ふきのたう (butterbur),Utatushū (卯辰集),NKBZ　近世発句俳文集,"ふきのたう (fuki no tō) is the butterbur shoot, a spring kigo. Bitterness of wind plays against the bitterness of the shoot.",,,,,,,,,,,,,,,,,,,
Edo,手をついて歌申しあぐる蛙かな,"te wo tsuite 
uta mōshi aguru 
kawazu kana","with hands supplicated
reciting a song
a frog:",山崎宗鑑,Yamazaki Sōkan ,1464 –1552,Spring,"蛙 【かわず】 kawazu, （かはづ）, frog(s) [note that this is a literary word] (all spring).",Arano (曠野),NKBZ　近世発句俳文集,"his poem is also included in 『歴代滑稽伝』『温故集』『俳諧古選』『俳家奇人談』, but we can not be should that it is in fact Sokan’s poem.  However, it is considered to be on of his masterpieces.  Arano was published in 1689, the year that Bashō left on his journey to the deep north.  This collection was published with the idea of opposing Teimon haikai which had wildly broken all of the traditions of haikai, so this poem by the founder of haikai fit perfectly with the ideal of the editors.",,,,,,,,,,,,,,,,,,,
Edo,すゞしさや水に柳のかげ法師,"suzushisa ya 
mizu ni yanagi no
kage-bōshi","how cool-
on the water, the willows’
silhouettes",山崎宗鑑,Yamazaki Sōkan ,1464 –1552,Summer,"柳 【やなぎ】 yanagi, willow(s) / weeping willow(s) (late spring).",,NKBZ　近世発句俳文集,"Willow is a spring kigo, but 涼しさ suzushisa (coolness) is a summer kigo; this is classified as summer.",,,,,,,,,,,,,,,,,,"Willow is a spring season word, but in this case coolness, a summer word, is the main season word, so this is considered to be a summer poem.",
Edo,うづきゝてねぶとに鳴けや郭公,"uzuki kite 
nebuto ni nake ya 
Hototogisu","the deutzia moon has come
sing in a loud voice 
hototogisu",山崎宗鑑,Yamazaki Sōkan ,1464 –1552,Summer,"郭公 【ほととぎす】 hototogisu, little cuckoo (all summer).",,NKBZ　近世発句俳文集,卯月 (uzuki) is the fourth lunar month (early summer). ねぶと (nebuto) = boil/carbuncle.,,,,,,,,,,,,,,,,,,"acheing
carbuncle cry
hototogisu",
Edo,きえにけりこれぞまことの雪ぼとけ,"kie ni keri
kore zo makoto no
yuki botoke","it has vanished—
this was the true form
of the snow Buddha",山崎宗鑑,Yamazaki Sōkan ,1464 –1552,Winter,"雪仏 【ゆきぼとけ】 yuki botoke, snow Buddha (winter).",,,A snow effigy of the Buddha that melts away—Buddhist impermanence (無常 mujō).,,,,,,,,,,,,,,,,,,,
Edo,月にえをさしたらばよき団哉,"tsuki ni 
e wo sasitaraba yoki
utiwa kana","if this moon
had a handle 
a fine fan!",山崎宗鑑,Yamazaki Sōkan ,1464 –1552,Summer,"団扇 【うちわ】 uchiwa, （うちは）, (round) fan [usually made of lightly framed paper glued to a handle] (all summer).",,NKBZ　近世発句俳文集,Playful conceit: if the full moon had a handle it would make a perfect fan.,,,,,,,,,,,,,,,,,,,
Edo,風寒し破れ障子の神無月,"kaze samushi 
yabure shōji no 
kaminazuki","cold wind
ripped shoji screen
godless month",山崎宗鑑,Yamazaki Sōkan ,1464 –1552,Winter,"神無月 【かんなづき】 kannazuki, 10th lunar month [literally ""gods-absent month""; approximately November] (early winter).",,,神無月 refers to the tenth lunar month when the gods leave for Izumo; broken shoji screens add to the chill.,,,,,,,,,,,,,,,,,,,
Edo,満丸に出でてもながき春日かな,"manmaru ni 
idetemo nagaki
haru-bi kana","thou rising roundly
the sun elongates 
on long spring days:",山崎宗鑑,Yamazaki Sōkan ,1464 –1552,Spring,"春日 【はるひ】 haruhi, a day in spring / spring day / spring sun [either or both meanings simultaneously, depending on context] (all spring).",,,"満丸に (manmaru ni) = roundly, perfectly round—the sun rising full and round on a long spring day.",,,,,,,,,,,,,,,,,,,
Edo,さむくともひになあたりそ雪仏,"samuku tomo
hi ni na atari so
yuki hotoke","even if you’re cold
don’t warm yourself by the fire
snowman",山崎宗鑑,Yamazaki Sōkan ,1464 –1552,Winter,"雪仏 【ゆきぼとけ】 yuki botoke, snow Buddha (winter).",,NKBZ　近世発句俳文集,Companion piece to Row 13. Comic warning: do not warm yourself by the fire or the snow Buddha will melt.,,,,,,,,,,,,,,,,,,,
Edo,飛梅やかろがろしくも神の春,"tobi ume ya  
karogaroshiku mo  
kami no haru ","Flying plum—
lightly, lightly,
the god’s spring.",荒木田 守武,Arakida Moritake,1473 –1549 ,Spring,"梅 【うめ】 ume, （sometimes むめ mume）, plum (blossoms) [technically, the ""Japanese apricot"", Prunus mume; but this has almost always been translated ""plum"" for literary purposes] (early spring).",,NKBZ　近世発句俳文集,,,,,,,,,,,,,,,,,,,flying plum and spring (spring),
Edo,元朝や神代のことも思はるゝ,"ganchō ya
kamiyo no koto mo
Omowaruru","New year's morning—
the age of the gods
are in my thoughts",荒木田 守武,Arakida Moritake,1473 –1549 ,New Year,"元朝 【がんちょう】 ganchō, New Year's morning (New Year).",,NKBZ　近世発句俳文集,The age of the gods (神代 kamiyo) brought to mind on New Year's morning.,,,,,,,,,,,,,,,,,,cold plum (winter),
Edo,青柳まゆかくきしのひたひかな,"aoyanagi
mayukakukishi no
hitai kana","emerald willow
the bank is the forehead
on which eyebrows are drawn ",荒木田 守武,Arakida Moritake,1473 –1549 ,Spring,"柳 【やなぎ】 yanagi, willow(s) / weeping willow(s) (late spring).",,NKBZ　近世発句俳文集,,,,,,,,,,,,,,,,,,,,
Edo,落花枝にかへると見れば胡蝶哉,"rakuka eda ni
kaeru to mireba
kochō kana","falling blossoms 
appear to return to the boughs
butterflies  ",荒木田 守武,Arakida Moritake,1473 –1549 ,Spring,"落花 【らっか】 rakka, （らくくわ）, falling (cherry) blossoms (late spring).",,NKBZ　近世発句俳文集,Famous conceit: falling petals appear to return to the branch—only to reveal themselves as butterflies.,,,,,,,,,,,,,,,,,,,
Edo,夏の夜は明くれどあかぬまぶた哉,"natsu no yo ha
akuredo akanu
mabuta kana","summer nights
dawn but eyelids
can't open",荒木田 守武,Arakida Moritake,1473 –1549 ,Summer,"夏の夜 【なつのよ】 natsu no yo, summer night (all summer).",,NKBZ　近世発句俳文集,Comic poem playing on 花 hana (blossom) and 鼻 hana (nose)—the nose has fragrance surpassing flowers.,,,,,,,,,,,,,,,,,,,
Edo,かささぎや今日久かたの雨の川,"kasasagi ya
kyō hisakata no
ama no kawa","magpie bridge—
today the sky's long river
rains down upon it",荒木田 守武,Arakida Moritake,1473 –1549 ,Autumn,"天の川 【あまのがわ】 ama-no-gawa, Milky Way (mid autumn).",,俳句の歴史,Tanabata imagery: the magpie bridge (鵲橋) of Chinese legend that spans the Milky Way.,,,,,,,,,,,,,,,,,,,
Edo,花よりも鼻ありけるにほひかな,"hana yori mo
hana ari keru
niohi kana","more than blossoms—
it was here all along,
this fragrant nose",荒木田 守武,Arakida Moritake,1473 –1549 ,Spring,"花 【はな】 hana, (cherry) blossoms [in haiku and haikai the simple word hana 花 refers to cherry blossoms, as do all kigo listed here; but note that in Manyōshū and some other early poetry hana was understood as referring to ume 梅【うめ】plum blossoms, an early spring topic] (late spring).",,俳句の歴史,Comic wordplay on 花 (blossom) and 鼻 (nose). The nose wins out over blossoms in the fragrance contest.,,,,,,,,,,,,,,,,,,,
Edo,春立つやにほんめでたき門の松,"haru tatsu ya
nihon medetaki
kado no matsu","twin pines stand auspiciously
as Japan celebrates
the dawning of spring ",斎藤 徳元,Saito Tokugen,1559-1647,Spring,"春立つ 【はるたつ】 haru tatsu, spring begins.",Puppy Collection,ＮKBZ 近世俳句俳文集,,,,,,,,,,,,,,,,,,,,
Edo,足もとのよきをぞとらんよめが萩,"ashi moto no
yoki wo zo toran
yome ha hagi","you oughta pick 
supple limbed bride clover
right underfoot",斎藤 徳元,Saito Tokugen,1559-1647,New Year,bride clover,Mountain Well,ＮKBZ 近世俳句俳文集,,,,,,,,,,,,,,,,,,,,
Edo,しし舞もせよやぼたんの花見酒,"shishi mai mo
se you ya botan no
hanami-zake","dance that lion 
dance— among peony blossoms
sipping blossom-viewing sake ",斎藤 徳元,Saito Tokugen,1559-1647,Summer,"牡丹 【ぼたん】 botan, tree peony (early summer).",Puppy Collection,ＮKBZ 近世俳句俳文集,,,,,,,,,,,,,,,,,,,,
Edo,あきなひか空ねも高き杜宇,"akinai ka
sora ne mo takaki
hototogisu ","that’s business, I guess 
inflating the asking price
the cuckoo

will I ever tire
of your sharp call high in the sky
cuckoo",斎藤 徳元,Saito Tokugen,1559-1647,Summer,"子規 【ほととぎす】 hototogisu, little cuckoo.",Puppy Collection,ＮKBZ 近世俳句俳文集,,,,,,,,,,,,,,,,,,,,
Edo,身にしむや香炉の煙秋の風,"mi ni shimu ya
karō no kemuri
aki no kaze","piercing into me— 
smoke from the incense burner blown 
by the autumn wind",斎藤 徳元,Saito Tokugen,1559-1647,Autumn ,"秋風 【あきかぜ】 akikaze, autumn breeze / autumn wind [carries with it the sound of rustling leaves] (all autumn).",Puppy Collection,ＮKBZ 近世俳句俳文集,,,,,,,,,,,,,,,,,,,,
