Kigo_Slug,Kigo_JP,Kigo_Romaji,Kigo_EN,Season,Category,Seq
haru,春,haru,spring,Spring,Season,1
risshun,立春,risshun,beginning of spring,Spring,Season,2
harufukashi,春深し,harufukashi,spring is deep,Spring,Season,3
haruasashi,春浅し,haruasashi,spring is slight,Spring,Season,4
saekaeru,冱返る,saekaeru,returns of clear coldness,Spring,Season,5
harusamu,春寒,harusamu,coldness of spring,Spring,Season,6
harumeku,春めく,harumeku,spring-like,Spring,Season,7
keichitsu,啓蟄,keichitsu,insects awake,Spring,Season,8
higan,彼岸,higan,spring equinox,Spring,Season,9
yokan,余寒,yokan,lingering coldness,Spring,Season,10
harunohi,春の日,harunohi,day in spring,Spring,Season,11
shungyo,春暁,shungyo,spring dawn,Spring,Season,12
harunokure,春の暮,harunokure,end of a spring day,Spring,Season,13
harunoyoi,春の宵,harunoyoi,evening in spring,Spring,Season,14
harunoyoru,春の夜,harunoyoru,nights of spring,Spring,Season,15
hinaga,日永,hinaga,long days,Spring,Season,16
chijitsu,遅日,chijitsu,late sun,Spring,Season,17
atataka,暖か,atataka,warmth,Spring,Season,18
uraraka,麗か,uraraka,bright,Spring,Season,19
nodoka,長閑,nodoka,balmy,Spring,Season,20
kurenoharu,暮の春,kurenoharu,end of spring,Spring,Season,21
yukuharu,行く春,yukuharu,departing spring,Spring,Season,22
haruoshimu,春惜しむ,haruoshimu,regret for spring,Spring,Season,23
harunoyuu,春の夕,harunoyuu,spring dusk-time,Spring,Season,24
shunbun,春分,shunbun,,Spring,Season,25
harunosora,春の空,harunosora,spring sky,Spring,Celestial,26
harunotsuki,春の月,harunotsuki,spring moon,Spring,Celestial,27
oborozuki,朧月,oborozuki,hazy moon,Spring,Celestial,28
harukaze,春風,harukaze,spring wind,Spring,Celestial,29
kochi,東風,kochi,east wind,Spring,Celestial,30
harunoame,春の雨,harunoame,spring rain,Spring,Celestial,31
hananoame,花の雨,hananoame,flower's rain,Spring,Celestial,32
harunoyuki,春の雪,harunoyuki,spring snow,Spring,Celestial,33
awayuki,淡雪,awayuki,light snow,Spring,Celestial,34
shunrai,春雷,shunrai,spring thunder,Spring,Celestial,35
kasumi,霞,kasumi,haze,Spring,Celestial,36
kagero,陽炎,kagero,heat ripples,Spring,Celestial,37
hanagumori,花曇り,hanagumori,flower cloudiness,Spring,Celestial,38
kazehikaru,風光る,kazehikaru,wind sparkles,Spring,Celestial,39
yukinohate,雪の果,yukinohate,last of snow,Spring,Celestial,40
wasurejimo,忘れ霜,wasurejimo,last frost,Spring,Celestial,41
hanabie,花冷え,hanabie,flowers' chill,Spring,Celestial,42
harunoyama,春の山,harunoyama,spring mountain,Spring,Landscape,43
yamawarau,山笑ふ,yamawarau,mountains laugh,Spring,Landscape,44
harunono,春の野,harunono,spring field,Spring,Landscape,45
yakino,焼野,yakino,burnt field,Spring,Landscape,46
harunomizu,春の水,harunomizu,springtime water,Spring,Landscape,47
mizunurumu,水温む,mizunurumu,water grows tepid,Spring,Landscape,48
harunoumi,春の海,harunoumi,spring ocean,Spring,Landscape,49
